,nbti,like,think,people,one,know,really,would,thing,time,get,link,feel,type,make,much,well,say,friend,love,way,want,good,see,something,also,lot,go,even,always,life,someone,could,never,though,year,find,thought,need,infp,actually,extraverted
2649,INTJ,2,4,3,10,5,2,1,5,7,6,0,0,2,2,4,4,3,1,0,5,1,2,5,1,0,1,13,2,0,1,1,1,3,5,0,3,4,6,0,2,introverted
2650,ISFP,9,6,4,17,9,6,3,14,5,6,2,7,1,5,10,3,2,10,4,2,6,2,4,2,0,3,9,1,2,0,5,1,1,5,2,1,3,3,0,4,introverted
2651,INFP,13,21,8,10,5,8,6,9,2,11,1,5,1,1,2,2,6,4,9,10,7,7,11,2,8,9,11,3,3,2,6,2,0,4,1,2,3,3,1,3,introverted
2652,INFP,4,10,6,18,5,13,7,18,10,10,1,8,2,7,3,2,1,9,9,9,4,1,1,3,1,3,11,2,8,0,2,5,3,5,4,3,5,2,1,11,introverted
2653,ENTP,9,6,4,9,5,3,7,12,0,4,2,4,9,2,4,1,2,5,2,4,1,0,15,3,3,1,5,2,0,0,0,2,2,3,0,2,2,3,5,2,extraverted
2654,INTJ,4,1,1,7,4,1,1,8,2,5,0,1,1,0,0,3,0,5,0,3,1,0,3,1,2,0,6,1,1,1,0,1,1,2,3,0,1,0,3,1,introverted
2655,ENTP,8,7,2,9,4,0,3,13,6,4,1,3,1,2,3,2,2,0,2,2,2,3,10,1,1,3,12,3,0,1,0,3,0,4,4,0,3,1,2,2,extraverted
2656,INTP,8,8,2,11,10,3,9,15,4,7,4,3,0,5,4,4,6,1,0,8,1,6,5,4,3,0,14,6,5,1,0,3,2,6,0,2,2,0,3,1,introverted
2657,INTJ,5,7,4,16,5,0,2,11,7,10,1,5,1,0,3,2,3,6,3,3,3,2,1,1,1,4,9,1,2,3,0,5,4,6,2,1,3,0,0,2,introverted
2658,INTP,6,2,3,17,3,1,10,10,6,4,3,1,2,2,2,10,4,1,1,1,2,3,3,2,3,1,14,7,0,4,2,3,1,8,0,2,1,3,1,3,introverted
2659,ENFJ,6,7,6,11,6,4,3,16,10,5,1,9,2,5,3,11,1,3,3,9,0,6,2,4,2,2,14,2,1,0,3,2,3,10,0,4,7,2,1,5,extraverted
2660,ISTP,5,4,6,7,5,1,3,4,1,3,4,0,2,1,0,2,2,3,0,2,5,3,4,0,0,1,11,1,0,0,2,0,1,1,3,2,1,2,0,0,introverted
2661,ENTP,7,2,5,13,7,1,1,8,4,8,6,3,1,4,2,2,1,2,0,2,1,1,4,2,1,2,6,3,0,1,1,1,2,0,1,2,0,1,0,1,extraverted
2662,INFJ,14,9,8,16,6,2,8,13,3,4,5,4,1,1,4,5,0,3,6,7,0,6,10,5,1,1,15,4,3,0,2,0,2,5,2,2,2,2,7,0,introverted
2663,INFJ,6,3,8,15,3,7,8,9,5,6,2,4,2,7,2,2,6,4,3,5,4,1,6,2,2,2,7,0,1,6,6,0,4,4,1,5,2,3,0,1,introverted
2664,INTJ,9,10,4,13,7,9,2,7,6,2,1,2,1,4,1,7,6,6,3,4,8,6,5,4,4,3,14,0,1,0,1,1,4,7,1,2,4,0,0,1,introverted
2665,ISFP,9,6,6,23,10,6,2,5,3,9,7,1,2,0,2,2,4,11,5,6,1,1,5,2,0,4,10,4,4,1,4,0,1,5,2,1,0,2,1,0,introverted
2666,INFP,3,4,2,9,1,4,0,12,5,4,4,2,0,1,2,8,0,0,2,6,0,1,1,2,7,6,10,1,1,1,0,0,1,3,4,0,1,1,2,1,introverted
2667,ENTP,9,8,8,21,7,6,5,8,5,10,1,0,4,5,7,3,4,5,3,7,3,1,10,2,7,3,12,1,3,1,3,6,3,11,1,1,3,2,1,0,extraverted
2668,INTJ,15,10,8,11,7,0,1,13,6,6,3,6,2,1,0,6,0,2,0,7,0,4,3,1,0,1,10,7,1,1,2,1,1,1,1,3,0,0,0,0,introverted
2669,INFP,10,19,15,9,7,5,3,8,3,2,1,3,4,1,3,3,6,4,0,11,4,6,6,4,6,9,14,2,3,0,2,5,2,2,6,1,2,0,20,4,introverted
2670,INTP,10,7,2,10,3,2,15,16,6,3,1,3,0,2,0,0,1,1,3,10,4,5,10,2,5,3,8,7,2,3,1,1,0,2,0,2,1,1,2,2,introverted
2671,INTJ,10,6,11,10,7,7,1,10,5,9,6,8,2,2,3,3,1,5,1,6,5,3,4,3,0,1,20,0,1,0,2,1,2,7,1,1,3,2,2,3,introverted
2672,ENFP,2,7,6,9,9,7,2,4,4,5,0,7,4,8,1,5,4,3,5,1,1,5,6,2,1,2,6,0,0,0,2,1,2,5,1,7,2,0,0,3,extraverted
2673,INTP,8,4,0,5,5,0,2,7,2,5,5,2,1,0,1,5,1,2,2,5,0,2,6,2,1,4,12,5,2,0,1,0,0,5,4,3,1,0,0,4,introverted
2674,ISTP,8,6,3,16,0,1,6,8,9,9,0,2,5,1,6,5,3,5,1,4,3,3,6,2,4,7,15,2,0,3,4,2,2,3,2,4,1,5,2,2,introverted
2675,INTP,8,10,3,17,3,2,5,6,3,2,2,4,1,3,5,0,5,0,1,7,1,3,4,0,1,2,11,1,1,1,0,2,2,7,4,1,1,1,0,5,introverted
2676,INTP,5,5,3,13,5,1,2,4,6,1,2,2,2,4,3,3,3,4,3,6,1,4,3,0,4,1,7,0,1,1,1,1,2,5,1,1,3,1,0,0,introverted
2677,INTP,15,13,8,17,4,8,3,11,11,5,2,7,3,7,3,1,11,1,7,7,3,1,5,1,2,1,11,6,0,0,3,2,1,6,0,2,3,6,0,0,introverted
2678,INTP,10,0,2,8,6,2,2,2,6,7,15,2,1,5,2,0,0,1,3,5,2,1,3,0,4,1,6,0,2,1,0,0,1,3,1,0,1,4,0,0,introverted
2679,INTJ,5,4,3,20,3,7,6,11,12,3,1,6,3,3,6,1,4,1,0,8,7,1,3,2,2,4,16,2,2,2,3,0,3,8,3,4,4,4,0,3,introverted
2680,INFP,4,9,3,12,3,3,3,4,3,4,13,4,3,4,6,1,3,0,4,6,2,4,5,0,0,4,13,10,1,2,0,3,4,6,2,3,2,2,5,0,introverted
2681,INFJ,5,5,1,11,6,3,0,12,5,6,0,1,17,3,2,0,3,0,1,3,3,1,3,0,1,0,15,4,0,1,2,3,0,1,0,1,1,2,1,0,introverted
2682,INTJ,4,1,3,10,6,1,3,3,6,2,16,3,2,3,4,2,2,1,3,2,4,2,6,1,2,1,7,3,2,0,0,2,0,2,1,3,2,1,1,1,introverted
2683,INFJ,16,3,11,7,8,1,4,11,1,0,10,4,0,1,1,1,3,1,4,3,3,4,9,1,1,3,11,0,1,2,4,2,3,1,2,1,0,3,3,2,introverted
2684,INFP,8,11,10,6,4,4,2,6,3,1,1,2,15,2,3,1,2,3,4,7,2,4,9,2,1,3,9,0,0,0,0,2,0,5,1,1,3,1,4,2,introverted
2685,INFP,1,0,0,4,1,1,0,2,0,2,7,2,0,1,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,4,0,0,4,0,1,0,introverted
2686,ESFP,8,18,12,11,9,2,2,15,6,6,3,3,5,5,3,3,9,0,3,5,5,4,13,2,1,4,11,6,1,4,2,0,0,5,1,0,5,3,1,2,extraverted
2687,ENFJ,3,8,1,18,10,6,2,21,7,7,0,13,2,1,5,3,3,2,1,5,7,2,5,6,4,2,12,0,2,2,4,0,1,11,0,0,4,6,0,1,extraverted
2688,INTJ,8,10,7,15,7,5,5,13,6,7,0,5,2,2,3,3,1,3,2,7,2,3,10,4,1,0,13,1,2,0,3,1,2,5,0,1,3,2,1,4,introverted
2689,INFJ,6,6,1,14,3,1,3,8,2,10,11,1,3,3,6,0,4,2,0,4,1,3,5,3,2,0,11,0,0,2,1,2,4,1,2,3,0,2,1,0,introverted
2690,INTP,9,23,13,22,9,2,14,20,8,4,0,9,1,1,5,2,8,3,9,16,11,6,4,5,2,1,18,1,8,6,4,6,6,5,3,1,4,1,0,2,introverted
2691,ENTP,4,5,6,8,2,2,2,9,1,3,0,1,9,5,3,1,3,0,0,4,4,3,6,2,6,1,6,1,1,2,2,3,4,3,0,1,3,3,2,1,extraverted
2692,ISTP,8,2,6,9,2,0,8,7,6,5,5,3,2,2,0,2,6,1,1,4,2,6,5,2,0,2,8,3,1,1,3,2,2,5,3,0,1,1,0,0,introverted
2693,INTJ,8,5,8,12,2,9,4,2,2,10,8,3,6,1,2,4,7,1,1,1,1,0,11,0,2,4,14,1,0,0,3,0,1,0,1,3,0,0,3,3,introverted
2694,ESTJ,2,2,4,6,1,2,1,6,4,4,4,1,5,2,2,0,2,2,1,0,1,2,1,1,1,0,10,0,0,1,0,0,2,3,1,3,1,0,0,0,extraverted
2695,INTJ,5,2,7,13,1,4,3,2,4,1,0,3,1,1,0,1,3,1,4,3,1,2,1,1,3,0,4,4,0,1,1,1,3,5,0,1,3,2,0,0,introverted
2696,ENTP,12,6,7,12,6,5,4,13,10,5,11,2,6,0,1,5,4,4,7,10,4,1,7,3,2,4,8,4,5,3,1,1,3,2,0,0,1,0,0,0,extraverted
2697,INFJ,5,4,7,13,4,2,2,8,4,6,13,6,0,2,4,2,0,1,20,10,2,6,3,2,1,2,18,4,7,2,4,1,4,2,0,0,2,1,0,0,introverted
2698,INFP,17,7,1,12,4,8,11,12,15,7,4,6,2,5,4,4,7,3,6,4,3,3,9,3,2,7,15,3,2,1,2,2,3,7,3,2,5,1,1,0,introverted
2699,ENFJ,6,13,5,10,2,0,3,7,7,5,11,2,0,0,2,3,3,2,3,1,5,1,2,0,7,0,10,1,1,4,0,4,1,1,1,2,1,4,0,0,extraverted
2700,INFP,5,11,1,26,6,1,8,9,15,10,2,5,1,3,3,4,4,7,2,7,9,6,5,3,2,3,23,3,2,4,0,0,3,8,4,1,2,1,2,0,introverted
2701,INFJ,8,7,3,9,2,5,6,5,7,8,0,6,2,2,2,8,3,4,2,6,6,2,5,2,2,4,12,2,0,4,1,2,1,4,3,6,1,1,0,4,introverted
2702,INTJ,14,5,3,5,4,8,5,4,5,3,3,6,6,0,6,1,8,6,5,5,0,0,6,1,1,6,1,0,2,0,0,1,2,3,1,1,0,1,9,2,introverted
2703,ENFJ,3,12,7,12,8,4,4,10,7,7,0,4,1,1,1,4,9,6,4,7,6,5,3,4,4,3,14,2,3,2,0,3,4,5,2,0,4,5,0,4,extraverted
2704,INFJ,6,6,6,18,7,0,5,10,7,2,1,15,2,1,2,5,4,7,5,7,2,4,5,0,2,2,10,7,4,2,8,2,0,2,0,4,0,1,0,0,introverted
2705,INFJ,8,15,15,21,10,5,4,13,9,7,2,9,2,6,3,0,1,0,0,5,5,4,7,4,2,3,13,8,1,7,1,2,3,6,1,1,1,4,0,0,introverted
2706,ENFP,13,1,4,13,2,3,0,14,7,9,3,8,0,0,5,3,3,12,2,3,5,2,5,1,4,3,16,5,1,0,2,1,6,2,1,4,0,3,0,1,extraverted
2707,INFJ,11,5,12,22,4,0,5,8,2,10,2,2,1,1,3,2,3,3,10,5,3,1,7,0,0,2,9,4,2,9,6,1,4,0,3,1,0,1,0,1,introverted
2708,ISTP,8,9,4,12,5,2,8,20,5,4,1,1,5,1,2,7,5,3,3,4,1,3,7,3,1,2,14,3,2,0,0,2,2,3,4,1,1,1,1,1,introverted
2709,INFJ,14,5,8,13,3,5,1,12,6,12,4,3,2,7,2,3,1,1,0,5,4,1,2,3,1,4,5,0,3,2,3,0,3,5,0,0,1,4,5,7,introverted
2710,ISTP,5,5,7,7,4,2,4,11,11,5,2,2,4,3,8,2,3,1,3,7,1,4,4,3,3,3,8,1,3,1,0,0,2,2,1,0,1,1,0,1,introverted
2711,INTP,8,4,1,17,2,5,9,11,3,5,3,3,1,2,4,3,2,11,7,5,1,1,8,4,1,1,10,2,3,7,3,0,2,3,2,5,1,2,2,4,introverted
2712,INFP,20,4,10,12,4,2,1,7,9,7,3,17,1,4,4,5,2,2,5,7,5,3,9,2,3,4,13,1,3,0,4,0,2,4,0,5,1,3,0,0,introverted
2713,INTP,6,5,7,11,7,6,0,7,6,6,3,2,0,0,3,1,4,1,1,9,4,1,2,1,3,0,7,2,3,3,2,1,1,4,1,3,3,0,0,2,introverted
2714,INTJ,13,4,7,14,3,8,1,9,4,3,17,1,0,2,0,4,0,2,3,6,1,1,8,3,2,2,9,1,2,2,7,1,6,3,3,2,1,3,1,2,introverted
2715,ENTP,5,5,2,18,6,3,10,9,5,5,0,9,2,2,6,6,8,3,0,12,3,1,9,5,1,6,6,3,5,2,3,2,4,4,0,2,3,1,0,1,extraverted
2716,ENTJ,4,3,1,15,4,1,4,8,2,2,0,0,1,4,2,6,4,3,1,5,1,4,14,3,0,0,12,2,1,0,2,3,2,5,2,3,1,2,0,2,extraverted
2717,INTJ,15,7,12,16,5,3,11,8,5,7,0,5,2,4,3,6,4,1,1,13,3,5,2,5,2,3,19,6,2,3,0,4,3,4,1,1,2,2,3,2,introverted
2718,INFJ,8,2,1,5,0,2,2,4,3,3,4,2,8,3,0,2,0,3,1,5,1,0,4,0,2,4,3,0,2,1,0,0,0,3,0,3,2,0,2,0,introverted
2719,INFP,8,6,3,37,3,5,6,7,2,2,0,14,6,1,6,3,1,2,3,5,5,2,5,2,2,0,2,3,0,4,0,3,0,1,0,2,0,6,7,0,introverted
2720,ENTP,10,13,8,10,10,3,4,12,7,7,1,3,0,3,2,3,1,3,4,8,3,4,3,2,3,4,13,0,3,2,4,3,2,3,2,2,3,1,0,2,extraverted
2721,ENTJ,11,5,4,8,4,3,6,18,7,8,0,3,1,3,2,6,4,3,0,3,0,1,2,7,1,0,9,0,1,2,1,3,5,4,1,0,2,2,0,2,extraverted
2722,INFJ,8,18,7,6,3,7,9,8,1,4,2,5,9,3,3,2,8,0,0,3,0,3,8,3,3,5,7,3,1,0,0,3,2,6,1,2,3,0,3,0,introverted
2723,ENFP,12,12,9,17,6,3,3,17,4,9,0,2,3,5,1,5,2,5,0,3,9,2,8,1,4,1,20,3,0,2,3,2,3,3,0,0,0,1,2,0,extraverted
2724,ISTP,5,6,2,21,11,2,7,12,3,6,1,0,30,4,0,3,6,2,1,5,2,2,5,5,1,0,15,1,5,1,4,2,6,0,2,0,0,3,1,3,introverted
2725,ENFP,7,3,7,13,6,3,3,9,3,1,6,5,5,2,2,6,5,2,2,6,2,4,12,3,1,0,12,4,1,0,2,3,1,1,1,0,1,1,0,4,extraverted
2726,INFP,7,6,6,15,4,3,7,6,5,11,0,8,4,1,3,1,1,10,5,6,2,5,7,2,5,3,13,2,1,3,3,1,1,5,2,2,2,3,9,0,introverted
2727,ENFP,11,8,3,9,8,4,9,6,5,0,4,8,8,5,4,3,2,2,2,3,2,2,7,1,2,2,6,2,1,2,1,6,0,7,2,1,3,7,4,1,extraverted
2728,ISFP,1,0,2,15,3,1,2,7,2,3,8,3,1,3,0,1,4,0,4,0,1,4,0,1,1,2,12,0,0,0,3,10,0,3,0,0,0,0,0,1,introverted
2729,ENTJ,13,10,4,10,2,4,2,2,4,7,2,7,0,1,1,2,2,7,2,7,2,4,2,0,2,3,12,2,0,2,3,0,0,2,0,2,2,2,6,1,extraverted
2730,INTJ,3,4,1,8,2,1,1,2,3,1,3,2,0,3,1,5,1,0,1,5,0,0,0,2,4,1,2,1,4,0,1,1,0,0,1,2,0,0,0,1,introverted
2731,ENTP,7,3,3,3,3,0,1,5,3,1,29,2,0,1,1,0,0,2,2,2,0,1,2,0,0,2,4,1,1,0,1,3,0,1,1,0,1,0,1,0,extraverted
2732,ENTP,7,9,8,13,6,5,1,10,6,4,1,2,9,3,4,5,4,1,1,10,3,2,12,4,0,0,18,5,1,0,1,5,0,14,2,4,6,2,0,2,extraverted
2733,ENFP,16,14,11,18,8,3,4,15,4,11,0,8,5,7,0,2,5,15,9,12,6,4,11,4,6,2,14,1,6,0,4,0,5,4,2,4,4,4,2,2,extraverted
2734,ISFP,10,6,5,13,1,4,7,7,3,8,0,6,2,3,7,1,5,1,4,5,1,2,10,2,0,1,10,2,0,1,0,1,5,8,3,5,0,1,1,1,introverted
2735,INFP,12,4,10,11,8,8,4,10,9,2,4,3,0,2,1,2,1,2,3,5,6,2,2,1,0,0,9,2,0,3,3,2,6,6,4,3,1,3,4,4,introverted
2736,ENTP,9,8,3,2,6,3,2,6,8,4,0,3,1,2,3,1,4,6,1,8,1,1,2,1,3,1,11,3,4,0,0,1,8,5,0,2,1,0,1,0,extraverted
2737,ISFJ,8,8,6,9,5,6,7,6,6,6,1,2,4,4,5,7,1,2,3,8,2,0,12,0,2,2,6,1,5,4,0,1,3,4,1,4,3,2,1,2,introverted
2738,ISFJ,11,11,3,19,9,3,6,15,3,3,0,5,3,5,6,4,5,5,4,7,3,2,11,1,2,3,13,3,2,0,7,1,3,5,0,3,2,2,1,6,introverted
2739,INFJ,3,22,9,15,11,10,3,14,4,8,2,5,1,2,7,6,6,8,6,9,3,3,8,4,0,2,11,8,5,0,2,4,2,2,1,3,1,3,1,0,introverted
2740,INTP,6,7,1,5,2,2,3,14,1,5,0,4,3,2,1,6,0,3,1,5,4,1,2,4,2,2,6,2,1,7,0,1,1,3,0,2,2,2,4,1,introverted
2741,INFJ,4,1,0,2,5,1,2,6,1,1,2,3,1,3,1,1,1,1,3,2,0,2,6,3,4,0,7,1,0,3,1,0,2,1,0,0,1,3,0,1,introverted
2742,INFP,14,4,5,23,6,3,3,8,10,6,3,6,3,4,3,1,2,6,9,11,6,0,4,2,3,4,5,2,3,2,4,3,2,8,5,1,3,1,3,2,introverted
2743,ESTP,3,5,1,6,6,1,3,9,6,1,2,2,8,5,1,1,2,1,1,6,2,4,5,3,1,2,17,1,1,1,2,3,1,2,3,1,2,2,0,3,extraverted
2744,INFP,19,4,5,8,7,9,2,9,14,16,0,13,5,4,3,2,0,4,7,8,2,5,6,1,1,2,17,3,3,5,1,1,1,10,1,1,7,2,17,0,introverted
2745,INFJ,0,4,2,5,2,1,0,4,0,0,3,8,0,1,1,1,0,0,10,1,3,3,0,0,3,0,6,1,1,0,2,0,3,0,1,0,0,0,0,0,introverted
2746,INTP,8,4,1,13,7,1,10,11,1,0,8,2,1,4,4,2,5,0,3,8,0,2,6,5,1,0,10,1,0,6,2,5,0,2,2,1,0,0,0,1,introverted
2747,INFP,10,13,4,13,5,11,7,8,3,6,1,5,2,7,2,2,1,3,8,5,2,6,4,3,1,3,12,3,2,1,1,2,3,1,0,1,1,4,4,2,introverted
2748,INTP,11,4,2,18,3,1,6,6,4,0,4,6,5,2,1,5,3,3,1,1,1,2,13,3,2,3,6,2,0,0,1,1,3,3,2,1,1,2,3,2,introverted
2749,ENFP,18,10,6,12,8,9,1,7,3,6,1,3,8,4,6,4,6,4,3,7,4,2,9,2,4,3,11,4,2,7,2,4,1,3,1,1,0,0,0,1,extraverted
2750,INFP,8,8,3,15,2,5,1,2,2,1,0,6,5,2,0,9,2,4,2,5,5,3,17,0,0,3,8,1,2,1,2,3,0,6,0,3,4,2,11,3,introverted
2751,ISFP,9,5,10,26,4,4,3,14,6,4,0,4,5,1,4,5,2,6,3,7,3,3,6,4,4,4,10,2,5,5,2,3,3,2,0,4,2,1,2,2,introverted
2752,ISTP,5,5,4,9,9,3,5,12,3,7,14,2,2,6,1,1,1,0,1,5,2,1,4,5,1,0,5,3,0,3,3,0,1,4,4,1,1,2,0,4,introverted
2753,INFJ,9,11,6,6,4,3,4,21,4,5,0,9,4,4,4,3,5,3,4,6,3,6,3,8,2,2,18,1,3,5,0,2,3,6,2,3,1,1,0,0,introverted
2754,INTJ,10,7,2,10,2,1,0,14,0,4,44,1,2,4,0,0,2,2,0,1,3,4,2,5,0,1,16,0,0,0,1,1,1,1,1,3,1,2,19,0,introverted
2755,INFJ,6,13,12,24,7,1,3,13,3,5,1,3,3,4,1,1,6,6,3,6,8,2,7,2,4,3,11,1,1,4,4,0,6,4,2,0,3,1,0,7,introverted
2756,INFJ,7,9,7,11,3,1,4,10,6,3,3,4,3,2,4,0,3,5,0,3,4,2,4,0,1,5,15,1,0,4,1,1,2,7,8,2,5,0,4,5,introverted
2757,INFJ,5,13,6,22,6,6,6,14,10,3,1,4,3,3,2,4,2,4,4,9,4,2,7,2,1,1,19,6,2,5,4,4,2,8,2,1,5,1,1,1,introverted
2758,ENTJ,11,5,1,23,5,4,5,10,9,9,2,5,5,4,2,3,5,7,2,6,6,3,11,0,2,3,11,5,0,2,6,3,1,6,3,0,6,4,0,2,extraverted
2759,INTP,13,5,6,16,2,0,4,9,6,3,0,3,1,10,2,0,3,5,2,5,2,2,7,2,3,4,7,5,1,2,3,0,2,4,0,1,0,2,0,3,introverted
2760,ISFP,15,6,9,9,3,11,1,9,2,11,2,1,4,0,1,3,2,6,7,5,3,2,10,2,3,4,10,5,4,3,0,1,3,6,3,2,2,0,2,2,introverted
2761,ISFP,2,0,1,1,4,0,2,1,1,1,41,1,1,0,2,1,1,0,15,1,1,2,0,0,0,2,3,1,0,0,1,0,0,0,1,1,0,3,0,1,introverted
2762,INFJ,10,8,5,10,3,5,5,9,5,6,3,5,12,2,1,3,2,0,3,6,1,2,4,2,11,4,14,2,3,3,0,2,0,2,1,4,0,0,1,3,introverted
2763,INFP,23,5,8,23,9,8,8,8,7,8,2,2,1,1,10,1,3,8,4,8,7,3,4,5,3,4,13,4,1,4,2,1,2,9,0,2,3,0,3,3,introverted
2764,INFP,18,12,6,3,5,6,2,10,2,6,1,1,0,2,3,1,3,1,0,5,3,7,9,6,2,1,14,0,0,1,0,1,1,0,0,2,0,1,9,1,introverted
2765,ISTJ,2,3,1,4,0,1,0,1,0,1,5,2,0,2,0,2,2,0,0,2,4,2,0,0,1,2,7,0,0,0,1,0,1,0,0,0,0,1,0,0,introverted
2766,INFJ,6,9,8,15,5,2,6,7,5,3,0,2,5,3,3,5,1,0,2,5,1,2,3,4,2,2,5,4,1,3,2,6,0,9,2,0,4,2,3,2,introverted
2767,ENFP,11,5,4,16,3,5,2,15,6,4,1,6,3,5,4,1,5,4,4,4,3,10,1,5,4,6,17,3,2,2,3,2,1,5,5,2,2,2,0,1,extraverted
2768,INTJ,13,17,2,15,6,1,4,14,2,4,0,3,5,3,10,7,9,0,0,5,6,1,13,1,1,2,3,7,2,1,0,2,1,6,0,0,1,2,3,2,introverted
2769,ENTP,5,6,0,9,6,4,4,9,2,2,1,7,2,1,2,3,2,1,3,3,4,0,2,1,2,0,7,4,0,1,0,0,2,1,0,3,1,0,0,5,extraverted
2770,INFP,4,13,5,9,6,3,4,11,2,9,0,5,13,3,6,3,6,4,2,6,3,2,4,3,1,2,13,3,3,1,2,2,3,3,3,3,2,0,13,1,introverted
2771,ISTJ,20,13,7,9,5,9,3,17,11,8,0,7,1,1,7,3,9,7,3,11,6,6,7,5,1,0,11,11,2,3,0,1,2,8,2,0,2,4,1,5,introverted
2772,INFP,14,6,7,9,3,0,0,8,7,4,0,9,2,4,1,1,1,3,5,7,2,3,3,1,0,0,13,4,4,5,4,1,1,3,2,1,0,0,2,0,introverted
2773,INTJ,8,4,5,15,8,4,4,9,8,6,0,1,2,0,1,3,1,2,3,6,2,1,3,2,5,2,9,3,1,5,0,2,1,2,2,1,1,0,0,1,introverted
2774,INFP,18,7,6,15,9,6,2,21,10,8,2,8,0,5,4,1,2,2,2,13,7,5,4,3,4,5,15,7,3,0,0,2,2,5,0,0,3,4,0,2,introverted
2775,INTJ,9,4,4,6,1,7,5,1,6,8,16,2,0,1,3,6,2,1,0,11,2,4,7,1,2,3,6,1,6,0,2,0,2,2,0,1,2,0,0,1,introverted
2776,INFP,5,6,2,8,6,4,0,2,4,3,2,3,2,1,1,2,2,8,1,11,2,2,1,2,6,1,18,6,5,2,0,0,4,4,9,0,2,2,5,0,introverted
2777,ISTP,9,13,4,10,8,4,3,7,3,12,0,4,1,5,1,3,1,1,2,6,3,0,1,2,1,3,7,7,0,1,0,1,0,7,2,0,4,0,0,4,introverted
2778,ENFP,16,4,2,6,2,0,2,9,8,6,2,7,3,3,1,5,3,11,7,5,0,5,6,2,2,3,13,1,1,4,0,0,4,2,0,1,1,5,1,1,extraverted
2779,ISTJ,17,6,5,22,6,1,7,6,10,10,1,6,2,2,3,3,5,3,0,8,3,3,2,1,9,1,14,2,5,0,3,1,1,3,2,3,2,3,0,3,introverted
2780,INFP,7,2,5,12,2,6,3,13,5,4,15,0,0,1,0,0,3,1,3,5,4,8,4,4,2,2,17,1,1,1,0,0,2,1,4,0,1,2,2,0,introverted
2781,ISTJ,8,1,1,7,3,1,5,5,4,3,2,3,12,3,1,1,0,2,0,5,4,1,2,0,0,0,5,2,3,0,3,0,2,2,0,1,0,0,3,0,introverted
2782,ISFJ,12,15,4,17,4,3,5,10,9,8,2,5,5,2,2,3,2,10,3,5,3,3,5,2,1,3,12,4,0,1,5,0,4,4,6,1,2,4,1,2,introverted
2783,INFJ,2,4,9,10,11,5,4,5,5,1,6,4,1,4,3,1,10,4,2,4,0,1,1,2,0,1,2,2,2,1,0,3,4,4,3,5,1,2,0,4,introverted
2784,INFP,15,4,4,21,4,0,4,14,7,6,2,6,1,2,3,4,5,1,5,6,3,2,3,5,2,2,16,0,2,0,3,1,2,4,1,1,2,3,5,2,introverted
2785,ENTP,5,2,2,13,5,1,4,3,4,6,0,2,1,1,2,2,0,1,6,1,1,3,1,0,0,2,8,1,1,1,2,1,0,2,1,1,1,2,1,0,extraverted
2786,INFJ,12,8,14,15,5,7,12,14,8,7,0,9,3,5,3,2,7,14,7,10,6,0,10,2,5,0,8,3,2,6,0,1,4,8,3,5,3,2,0,1,introverted
2787,INTP,1,5,2,10,1,1,3,2,4,2,17,2,1,2,0,1,0,0,1,1,4,1,4,0,3,2,14,4,0,1,2,0,1,1,1,0,1,3,0,2,introverted
2788,INFJ,3,2,3,5,6,2,0,5,0,2,0,2,0,2,3,1,0,4,3,2,1,0,1,0,1,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,introverted
2789,ENFP,16,6,6,13,5,3,5,11,7,4,8,7,1,0,5,2,6,7,1,2,5,4,8,3,1,2,16,3,0,1,4,4,1,4,1,1,2,0,1,0,extraverted
2790,ISTJ,2,2,1,3,1,0,1,1,0,1,13,1,0,0,0,1,1,0,0,3,0,2,2,0,0,0,4,1,2,0,1,0,1,2,4,0,1,3,0,0,introverted
2791,ENTP,10,14,11,15,5,3,2,11,5,7,0,4,10,2,5,4,1,2,1,6,3,4,5,3,1,3,14,1,2,7,5,3,1,11,1,3,5,4,0,1,extraverted
2792,ENTP,4,3,3,8,3,9,3,5,4,0,18,0,1,3,4,0,2,0,4,2,3,5,1,1,3,3,11,0,0,1,0,5,2,3,0,1,0,0,0,1,extraverted
2793,ENTP,5,4,1,10,2,0,2,10,4,3,6,3,0,4,7,5,2,0,1,4,3,3,4,4,3,3,10,1,0,0,0,1,0,7,1,1,6,3,0,1,extraverted
2794,INTP,7,11,14,18,7,6,7,12,6,11,5,4,2,8,2,1,8,2,3,4,1,1,5,4,1,2,10,2,0,3,7,2,2,6,2,2,2,3,0,3,introverted
2795,INFJ,5,2,5,29,12,4,3,12,11,5,3,2,2,1,4,4,2,3,2,10,0,2,5,3,2,1,13,4,4,1,2,1,3,3,7,1,0,4,0,1,introverted
2796,INFJ,8,11,1,14,2,4,2,11,9,9,0,11,2,4,4,3,2,1,1,2,2,5,9,5,5,5,17,4,0,3,3,2,0,1,9,0,1,4,3,0,introverted
2797,INTP,5,1,2,11,2,0,3,3,2,0,3,1,0,0,1,0,0,0,2,2,2,3,2,0,0,0,10,2,2,3,0,2,0,1,1,2,1,2,0,0,introverted
2798,INFJ,4,4,4,6,3,0,1,4,2,5,7,1,13,3,2,2,1,6,0,2,3,1,1,1,0,2,3,1,1,1,2,0,0,1,5,3,1,1,2,1,introverted
